대중교통,역(정류장),호선명,노선(수),x_좌표,y_좌표,지하철_여부,버스_여부,따릉이_여부,동_이름,GID,NODE_ID,주소,도로명,버스정류장ARS번호,총승차인원,총하차인원
버스,두산상가후문.106동,,2,127.0167387,37.5491854,N,Y,N,금호동3가,11200111,103900134.0,서울 성동구 금호동3가 1331,"서울특별시 성동구 동호로 100 (금호동3가, 두산아파트)",4550.0,81.0,125.0
버스,두산상가후문.106동,,2,127.0166851,37.54933842,N,Y,N,금호동3가,11200111,103900135.0,서울 성동구 금호동3가 1331,"서울특별시 성동구 동호로 100 (금호동3가, 두산아파트)",4754.0,77.0,90.0
버스,두산아파트109동,,2,127.0166307,37.54988947,N,Y,N,금호동3가,11200111,103900006.0,서울 성동구 금호동3가 1331,"서울특별시 성동구 동호로 100 (금호동3가, 두산아파트)",4757.0,228.0,12.0
버스,두산아파트109동,,2,127.016797,37.54991499,N,Y,N,금호동3가,11200111,103900137.0,서울 성동구 금호동3가 1331,"서울특별시 성동구 동호로 100 (금호동3가, 두산아파트)",4760.0,8.0,595.0
버스,두산아파트113동,,2,127.0162396,37.55078794,N,Y,N,금호동3가,11200111,103900001.0,서울 성동구 금호동3가 1331,"서울특별시 성동구 동호로 100 (금호동3가, 두산아파트)",4767.0,399.0,5611.0
버스,두산아파트113동,,2,127.0160758,37.5505885,N,Y,N,금호동3가,11200111,103900007.0,서울 성동구 금호동3가 1331,"서울특별시 성동구 동호로 100 (금호동3가, 두산아파트)",4756.0,394.0,45.0
버스,두산아파트115동,,2,127.0159607,37.55105588,N,Y,N,금호동3가,11200111,103900138.0,서울 성동구 금호동3가 1331,"서울특별시 성동구 동호로 100 (금호동3가, 두산아파트)",4761.0,3986.0,4476.0
버스,뚝도시장,,4,127.0553996,37.53858661,N,Y,N,성수동2가,11200115,103000096.0,서울 성동구 성수동2가 331-200,서울특별시 성동구 뚝섬로 404 (성수동2가),4195.0,14754.0,2386.0
버스,뚝도시장,,3,127.05526,37.53885,N,Y,N,성수동2가,11200115,103000097.0,서울 성동구 성수동2가 331-15,서울특별시 성동구 뚝섬로 403 (성수동2가),4196.0,2679.0,13238.0
버스,뚝도시장구길,,5,127.05527,37.537192,N,Y,N,성수동2가,11200115,103000102.0,서울 성동구 성수동2가 816-4,서울특별시 성동구 성수이로2길 12 (성수동2가),4201.0,2119.0,12734.0
버스,뚝도시장구길,,5,127.0549268,37.53755207,N,Y,N,성수동2가,11200115,103000103.0,서울 성동구 성수동2가 565-5,서울특별시 성동구 성덕정길 103 (성수동2가),4202.0,14221.0,2917.0
버스,뚝도아리수정수센터수도박물관,,4,127.0442,37.540977,N,Y,N,성수동1가,11200114,103000076.0,서울 성동구 성수동1가 656-410,서울특별시 성동구 왕십리로 38 (성수동1가),4175.0,7234.0,10229.0
버스,뚝도아리수정수센터수도박물관,,4,127.04399,37.541407,N,Y,N,성수동1가,11200114,103000077.0,서울 성동구 성수동1가 685-235,-,4176.0,2298.0,10616.0
버스,뚝섬서울숲,,4,127.0366012,37.54461804,N,Y,N,성수동1가,11200114,103000121.0,서울 성동구 성수동1가 685-30,-,4222.0,19392.0,22131.0
버스,뚝섬서울숲,,5,127.036397,37.545672,N,Y,N,성수동1가,11200114,103000122.0,서울 성동구 성수동1가 685-534,-,4223.0,19846.0,23247.0
버스,뚝섬서울숲,,2,127.037565,37.543457,N,Y,N,성수동1가,11200114,103000162.0,서울 성동구 성수동1가 719,-,4264.0,6728.0,1844.0
버스,뚝섬역2번출구,,6,127.046846,37.547575,N,Y,N,성수동1가,11200114,103000135.0,서울 성동구 성수동1가 715-1,-,4237.0,13758.0,6165.0
버스,뚝섬역4번출구,,6,127.04927,37.5468,N,Y,N,성수동1가,11200114,103000137.0,서울 성동구 성수동1가 14-28,서울특별시 성동구 아차산로 41 (성수동1가),4239.0,11963.0,12239.0
버스,뚝섬역5번출구,,6,127.049272,37.546482,N,Y,N,성수동1가,11200114,103000136.0,서울 성동구 성수동1가 14-22,-,4238.0,14552.0,10214.0
버스,뚝섬역8번출구,,6,127.045506,37.547696,N,Y,N,성수동1가,11200114,103000134.0,서울 성동구 성수동1가 656-853,서울특별시 성동구 아차산로 2-1 (성수동1가),4236.0,17040.0,15851.0
버스,래미안옥수리버젠.옥수중앙교회,,2,127.0148446,37.54591558,N,Y,N,옥수동,11200113,103000065.0,서울 성동구 옥수동 561-4,-,4164.0,1387.0,9097.0
버스,래미안옥수리버젠.옥수중앙교회,,2,127.014698,37.545782,N,Y,N,옥수동,11200113,103000066.0,서울 성동구 옥수동 561-4,-,4165.0,5101.0,1933.0
버스,래미안옥수리버젠아파트상가,,1,127.015727,37.54437279,N,Y,N,옥수동,11200113,103900167.0,서울 성동구 옥수동 산 5-145,-,4800.0,166.0,1517.0
버스,래미안하이리버아파트,,3,127.0254234,37.55145821,N,Y,N,금호동2가,11200110,103000051.0,서울 성동구 금호동2가 1220-1,-,4150.0,8218.0,9312.0
버스,리버그린동아아파트,,1,127.0382721,37.55334439,N,Y,N,응봉동,11200108,103900280.0,서울 성동구 응봉동 276,서울특별시 성동구 고산자로2길 13 (응봉동),4895.0,137.0,2661.0
버스,리버그린동아아파트정문,,1,127.0375237,37.55349324,N,Y,N,응봉동,11200108,103900274.0,서울 성동구 응봉동 276,서울특별시 성동구 고산자로2길 13 (응봉동),4889.0,2371.0,110.0
버스,리버하우스,,3,127.0510061,37.55090026,N,Y,N,성수동1가,11200114,103000152.0,서울 성동구 성수동1가 13-12,서울특별시 성동구 광나루로 190 (성수동1가),4254.0,8224.0,7294.0
버스,리버하우스,,3,127.0506905,37.5512302,N,Y,N,성수동1가,11200114,103000153.0,서울 성동구 성수동1가 13-217,서울특별시 성동구 아차산로 39-1 (성수동1가),4255.0,6047.0,7039.0
버스,마장2교사거리,,1,127.045459,37.567977,N,Y,N,마장동,11200105,103900203.0,서울 성동구 마장동 806,-,4839.0,451.0,175.0
버스,마장2교사거리,,1,127.0456033,37.56818275,N,Y,N,마장동,11200105,103900204.0,서울 성동구 마장동 804,서울특별시 성동구 마장로 지하296 (마장동),4840.0,28.0,1163.0
버스,마장동금호아파트,,2,127.041859,37.56307133,N,Y,N,마장동,11200105,103000024.0,서울 성동구 마장동 388-2,서울특별시 성동구 마조로 60-1 (마장동),4123.0,2661.0,3799.0
버스,마장동금호아파트,,2,127.0415812,37.56215772,N,Y,N,마장동,11200105,103000025.0,서울 성동구 마장동 395-2,-,4124.0,3436.0,17612.0
버스,마장동주민센터,,2,127.0445738,37.5673235,N,Y,N,마장동,11200105,103000017.0,서울 성동구 마장동 804,서울특별시 성동구 마장로 지하296 (마장동),4116.0,5171.0,10431.0
버스,마장동주민센터,,2,127.04464,37.567063,N,Y,N,마장동,11200105,105000455.0,서울 성동구 마장동 781-22,-,4298.0,4888.0,4853.0
버스,마장동축산물시장,,1,127.0375065,37.57033647,N,Y,N,마장동,11200105,103900055.0,서울 성동구 마장동 474-5,서울특별시 성동구 고산자로 345 (마장동),,,
버스,마장역,,2,127.0423252,37.56558251,N,Y,N,마장동,11200105,103000018.0,서울 성동구 마장동 810,서울특별시 성동구 마장로 지하296 (마장동),4117.0,18187.0,7561.0
버스,마장역,,2,127.043037,37.566346,N,Y,N,마장동,11200105,103000169.0,서울 성동구 마장동 804,서울특별시 성동구 마장로 지하296 (마장동),4271.0,4557.0,11162.0
버스,마장역,,1,127.0426522,37.56611408,N,Y,N,마장동,11200105,103900246.0,서울 성동구 마장동 804,서울특별시 성동구 마장로 지하296 (마장동),4876.0,668.0,340.0
버스,마장역,,1,127.0423948,37.56564741,N,Y,N,마장동,11200105,103900247.0,서울 성동구 마장동 810,서울특별시 성동구 마장로 지하296 (마장동),4877.0,700.0,1208.0
