정류장_이름,x_좌표,y_좌표
금호베스트빌아파트노인정앞,127.025069533,37.5618733218
풍림아이원아파트후문,127.0268499549,37.5601942456
응봉역.광희중학교,127.035298,37.551878
대림강변타운아파트A상가,127.035718,37.55479
리버그린동아아파트정문,127.0375237372,37.5534932401
서울숲리버뷰자이아파트제2주차장,127.039405,37.556168
서울숲리버뷰자이아파트제2주차장,127.039281,37.555721
서울숲리버뷰자이아파트제1주차장,127.0388889816,37.5541970798
왕십리로교차로,127.0389354428,37.557719765
왕십리로교차로,127.0391339263,37.5577676066
리버그린동아아파트,127.0382720735,37.553344391
서울숲리버뷰자이아파트제1주차장,127.03924,37.554509
왕십리역6-1번출구,127.037912,37.560793
행당동서울숲더샵,127.039717,37.557808
행당동서울숲더샵,127.039904,37.558001
서울숲공원,127.042573685,37.5420905951
성수역수제화거리,127.054619,37.545157
한양대역,127.0432470892,37.5568651503
한양대학교병원본관1층,127.0438016174,37.559459871
한양대학교병원본관1층,127.0435712108,37.5594516108
한양대학교병원응급실,127.0446,37.559812
한양대학교류마티스병원동관,127.044651,37.559973
한양대학교백남학술정보관,127.0458450446,37.5577342161
한양종합기술연구원.생활과학대학,127.0460705765,37.5576910991
한양대학교생활과학대학,127.0465028779,37.5568034886
한양대학교제2의학관,127.042132,37.559328
한양대학교정문,127.0421228179,37.5577761117
신답초등학교.청계한신휴플러스,127.044292,37.571753
신답초등학교.청계한신휴플러스,127.0447281029,37.5717559096
동대문구청.용두역,127.04015,37.572834
