GID,위도,경도,생활인구수,가까운 지하철역,지하철역까지거리(m)
다사518437,37.49174686,126.9553177,92,숭실대입구,522.77
다사498441,37.49524568,126.932667,407,신대방삼거리,633.44
다사501459,37.51148573,126.9359386,104,장승배기,787
다사535436,37.49093262,126.974554,583,남성,758.02
다사530436,37.49090733,126.9688981,135,남성,718.52
다사502446,37.49977394,126.9371581,143,장승배기,587.43
다사497439,37.4934376,126.9315494,326,당곡,499.44
다사523448,37.5016874,126.9609023,110,흑석,848.96
다사478433,37.4879243,126.9100993,287,신대방,283.89
다사489446,37.49970295,126.9224513,123,보라매,207.72
다사518454,37.5070694,126.9552064,20,노들,650.02
다사524432,37.48727131,126.962137,11,남성,842.05
다사490445,37.49880716,126.9235895,401,보라매,330.63
다사526435,37.48998558,126.9643799,357,남성,836.3
다사496446,37.4997414,126.9303703,167,신대방삼거리,189.89
다사527453,37.5062146,126.9653954,281,흑석,357.24
다사496459,37.51145858,126.9302813,58,대방,365.54
다사524436,37.49087663,126.9621112,334,숭실대입구,956.78
다사539420,37.47653135,126.9791787,0,사당,216.4
다사536432,37.48733233,126.9757103,259,남성,501.35
다사531451,37.50443234,126.9699338,0,흑석,766.38
다사513460,37.51245111,126.9495096,0,노들,327.7
다사495447,37.50063727,126.9292322,334,신대방삼거리,135.93
다사505452,37.505198,126.9405116,27,장승배기,136.88
다사511457,37.50973658,126.9472666,639,노량진,502.88
다사498439,37.49344303,126.9326806,362,당곡,574.53
다사532452,37.50533874,126.9710588,10,흑석,785.5
다사520440,37.49446125,126.9575605,322,숭실대입구,398.74
다사509451,37.50431803,126.9450437,341,상도,307.49
다사500454,37.50697372,126.9348411,125,장승배기,438.45
다사525434,37.48907912,126.9632552,350,남성,847.63
다사493444,37.49792235,126.9269902,253,신대방삼거리,227.06
다사507458,37.51061663,126.9427341,116,노량진,401.37
다사506457,37.50970997,126.9416094,207,노량진,538.11
다사524448,37.50169256,126.9620336,53,흑석,827.3
다사509452,37.50521935,126.9450371,33,상도,372.76
다사501458,37.51058441,126.9359454,99,장승배기,693.6
다사516456,37.50886159,126.9529304,44,노들,427.2
다사512449,37.50253127,126.9484511,118,상도,52.82
다사491449,37.50241796,126.9246931,391,서울지방병무청,417.66
다사522451,37.50438621,126.9597515,307,흑석,613.38
다사541431,37.48645596,126.9813721,31,이수,42.81
다사491456,37.5087272,126.9246447,733,서울지방병무청,374.02
다사541433,37.48825862,126.9813596,114,총신대입구,170.95
다사476433,37.48791298,126.9078371,365,신대방,481.99
다사531438,37.49271507,126.9700166,8,남성,897.75
다사509456,37.50882464,126.9450104,407,노량진,556.04
다사516452,37.50525629,126.9529567,168,상도,519.94
다사525447,37.50079638,126.9631714,156,흑석,917.49
다사494460,37.51234896,126.9280115,306,대방,146.33
다사492443,37.49701553,126.9258659,408,신대방삼거리,365.09
다사506462,37.51421658,126.9415758,11,노량진,289.82
다사508456,37.50881932,126.943879,35,노량진,562.59
다사478435,37.48972694,126.9100852,227,신대방,372.65
다사496445,37.49884008,126.9303772,232,신대방삼거리,213.99
다사489441,37.49519635,126.922486,144,보라매병원,270.9
다사492454,37.50693006,126.9257899,276,서울지방병무청,309.53
다사521443,37.49717042,126.9586722,0,숭실대입구,454.62
다사535424,37.48011665,126.9746297,314,남성,595.77
다사496443,37.49703744,126.9303909,397,신대방삼거리,354.29
다사533431,37.48641589,126.9723233,448,남성,220.03
다사529454,37.50712614,126.9676518,294,흑석,425.54
다사477431,37.48611601,126.9089824,138,신대방,410.58
다사498443,37.49704833,126.9326534,429,신대방삼거리,491.08
다사475433,37.48790731,126.906706,501,신대방,581.43
다사478438,37.4924309,126.9100639,310,신대방,613.97
다사515453,37.50615237,126.9518187,264,상도,506.27
다사513447,37.5007339,126.9495957,125,상도,270.87
다사542442,37.49637556,126.9824348,109,구반포,714.49
다사476436,37.49061694,126.9078158,7,신대방,591.49
다사511458,37.5106379,126.9472599,260,노량진,414.24
다사479432,37.48702862,126.9112375,55,신대방,188.69
다사501441,37.49526193,126.9360607,383,신대방삼거리,850.94
다사531433,37.48820842,126.9700484,459,남성,402.46
다사531435,37.49001108,126.9700357,280,남성,599.41
다사541425,37.48104797,126.9814095,82,사당,499.59
다사499460,37.51237622,126.9336689,211,샛강,643.6
다사507456,37.50881399,126.9427475,0,장승배기,550.08
다사506450,37.50340071,126.9416564,626,장승배기,282.26
다사504460,37.51240321,126.9393263,34,노량진,509.96
다사511448,37.50162466,126.9473264,281,상도,140.74
다사512456,37.50884054,126.9484047,439,노들,603.06
다사519439,37.49355472,126.9564358,173,숭실대입구,388.33
다사493448,37.50152763,126.9269627,392,신대방삼거리,229.78
다사502441,37.49526732,126.9371919,415,신대방삼거리,933.57
다사502449,37.50247791,126.9371378,30,장승배기,311.44
다사534428,37.48371694,126.9734734,70,남성,234.99
다사518448,37.50166145,126.9552457,200,숭실대입구,617.13
다사518455,37.50797072,126.9551998,42,노들,554.01
다사498449,37.50245626,126.9326124,283,신대방삼거리,493
다사501442,37.49616325,126.9360539,296,신대방삼거리,796.25
다사519441,37.49535738,126.9564227,81,숭실대입구,264.4
다사539437,37.49185399,126.9790724,209,총신대입구,618.76
다사533452,37.5053438,126.9721901,0,동작,731.21
다사517449,37.50255755,126.9541078,292,상도,543.91
다사533432,37.48731722,126.972317,171,남성,311.21
다사490452,37.5051164,126.923541,292,서울지방병무청,111.89
다사537429,37.48463335,126.9768603,33,이수,487.1
다사519455,37.50797594,126.9563312,194,노들,592.69
다사506459,37.51151261,126.941596,229,노량진,383.49
다사511454,37.50703261,126.9472865,773,상도,475.36
다사517455,37.5079655,126.9540684,66,노들,531.51
다사530426,37.48189403,126.968962,64,남성,363.83
다사528454,37.50712104,126.9665204,131,흑석,343.2
다사540432,37.48735232,126.9802348,130,이수,171.38
다사534422,37.47830896,126.9735114,473,남성,740.34
다사508462,37.51422726,126.9438388,0,노량진,97.83
다사533426,37.48190924,126.972355,180,남성,327.99
다사534433,37.4882236,126.9734418,450,남성,443.8
다사503447,37.50068065,126.9382826,319,장승배기,467.66
