대중교통,역(정류장),호선(명),노선(수),지하철 여부(Y/N),버스 여부(Y/N),따릉이 여부(Y/N),x_좌표,y_좌표,동 이름,GID,대여소번호,NODE_ID,ARS_ID,지번_주소,도로명_주소,일평균승차승객수,일평균하차승객수,일평균총승객수,월승차승객수,월하차승객수,월이용객수
버스,성남중고,,1,N,Y,N,126.9253134,37.50457842,대방동,11590108,,119900042,20555,서울 동작구 대방동 375-1,서울특별시 동작구 대방동길 74 (대방동),63.57,78.27,141.83,1907,1875,4255
버스,성원아파트,,2,N,Y,N,126.9254189,37.50882177,대방동,11590108,,119900133,20857,서울 동작구 대방동 503-2,,7.92,15.38,23.3,475,1875,1398
버스,대방어린이도서관,,1,N,Y,N,126.9254813,37.50296195,대방동,11590108,,119900053,20542,서울 동작구 대방동 375-74,서울특별시 동작구 대방동길 56 (대방동),72.6,83.33,155.93,2178,1875,4678
버스,대림초등학교,,8,N,Y,N,126.9261279,37.49985536,대방동,11590108,,119000053,20146,서울 동작구 대방동 466-60,,175.81,85.16,260.97,35513,1875,52716
버스,대방동주민센터,,1,N,Y,N,126.926167,37.508177,대방동,11590108,,119900020,20580,서울 동작구 대방동 501-4,,26.1,80.43,106.53,783,1875,3196
버스,대방동주민센터,,3,N,Y,N,126.926169,37.508388,대방동,11590108,,119900267,20861,서울 동작구 대방동 501-4,,18.57,41.37,59.93,1671,1875,5394
버스,대방역,,5,N,Y,N,126.9263634,37.51258813,대방동,11590108,,119000022,20108,서울 동작구 대방동 117-4,서울특별시 동작구 노량진로 9 (대방동),153.65,205.39,359.04,32267,1875,75398
버스,대림초등학교,,10,N,Y,N,126.926481,37.49960777,대방동,11590108,,119000052,20145,서울 동작구 대방동 404-1,서울특별시 동작구 상도로 56 (대방동),123.01,208.33,331.34,28539,1875,76872
버스,7호선신대방삼거리역4번출구,,3,N,Y,N,126.9267443,37.4998233,대방동,11590108,,119900169,20808,서울 동작구 대방동 406-10,서울특별시 동작구 상도로 지하76 (대방동),19.62,33.45,53.07,1177,1875,3184
버스,효주파크빌,,1,N,Y,N,126.9267494,37.50272846,대방동,11590108,,119900311,20495,서울 동작구 대방동 466-10,,42.47,85.07,127.53,1274,1875,3826
