GID,위도,경도,생활인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수
다사493449,37.50242895,126.9269558,364,3,8,12
다사515448,37.50164575,126.9518517,252,0,8,19
다사514450,37.50344314,126.9507072,411,2,10,23
다사530451,37.50442726,126.9688024,7,0,4,8
다사480440,37.49424482,126.9123121,511,3,11,12
다사507446,37.49980076,126.9428145,171,2,13,19
다사500459,37.51148032,126.9348071,6,2,10,14
다사518438,37.49264819,126.9553111,417,3,9,16
다사529425,37.48098761,126.9678373,120,1,4,6
다사507451,37.50430737,126.942781,596,3,14,31
다사505450,37.50339536,126.940525,0,3,15,22
다사508445,37.49890476,126.9439525,61,5,7,22
다사503440,37.49437138,126.9383299,149,2,16,23
다사504440,37.49437676,126.9394611,0,0,13,24
다사490446,37.49970848,126.9235826,225,3,11,21
다사529438,37.4927049,126.9677542,159,0,1,4
다사520453,37.50617849,126.9574757,0,5,7,16
다사532451,37.50443741,126.9710651,7,1,3,6
다사509459,37.51152861,126.9449904,185,4,9,17
다사510450,37.50342201,126.9461818,319,8,21,25
다사524446,37.4998899,126.9620465,110,3,9,14
다사503458,37.51059519,126.9382083,309,0,3,13
다사519459,37.51158123,126.9563051,237,0,8,16
다사502457,37.50968849,126.9370836,203,0,2,11
다사501461,37.51328837,126.935925,20,3,7,13
다사501443,37.49706458,126.9360471,260,2,12,26
다사475432,37.48700599,126.9067131,603,2,10,16
다사533433,37.48821855,126.9723107,273,2,10,20
다사492447,37.50062082,126.9258383,133,3,11,22
다사541430,37.48555463,126.9813783,41,4,17,21
다사498445,37.49885097,126.9326397,323,5,15,26
다사497453,37.50605611,126.9314538,8,4,8,12
다사501448,37.50157119,126.9360132,329,2,8,16
다사494456,37.50874368,126.928039,87,2,8,14
다사509458,37.51062729,126.944997,309,2,7,18
다사493440,37.49431706,126.9270178,71,3,7,9
다사534423,37.47921029,126.973505,347,0,0,2
다사526448,37.50170284,126.9642962,354,2,4,13
다사536438,37.49274031,126.9756725,74,0,4,7
다사493459,37.51144216,126.9268869,136,1,11,23
다사500442,37.49615785,126.9349226,284,3,21,31
다사498455,37.50786419,126.9325715,141,3,9,15
다사478437,37.49152958,126.910071,0,0,5,6
다사493456,37.5087382,126.9269076,0,3,12,15
다사497460,37.51236535,126.9314059,504,4,8,14
다사481441,37.49515176,126.9134363,9,3,10,17
다사528455,37.50802237,126.966514,572,5,9,10
다사524433,37.48817264,126.9621306,321,4,7,19
다사516451,37.50435497,126.9529633,421,4,9,16
다사511460,37.51244054,126.9472467,211,2,6,16
다사532428,37.48370684,126.9712113,281,5,10,18
다사534431,37.48642094,126.9734544,146,6,17,22
다사540425,37.481043,126.9802785,269,1,6,13
다사497456,37.50876007,126.9314333,101,3,11,14
다사477433,37.48791865,126.9089682,263,3,8,19
다사515441,37.49533647,126.9518978,437,0,4,8
다사540436,37.49095764,126.9802098,233,0,4,12
다사482442,37.49605869,126.9145605,341,4,14,22
다사491437,37.4916021,126.9247761,392,7,15,19
