대중교통,역(정류장)명,호선명,노선(수),지하철 여부(Y/N),버스 여부(Y/N),따릉이 여부(Y/N),X좌표,Y좌표,동 이름,GID,대여소번호,NODE_ID,ARS_ID,지번_주소,도로명_주소,일평균승차승객수,일평균하차승객수,일평균총승객수,월승차승객수,월하차승객수,월이용객수
버스,대경생활과학고등학교,,1,N,Y,N,127.017537,37.55597143,금호동2가,11200110,,103900026,4514,서울 성동구 금호동2가 산 9-1,서울특별시 성동구 금호산15길 15 (금호동2가),33.72,0.34,34.06,978,10,988
버스,대경생활과학고등학교,,1,N,Y,N,127.0175178,37.55606875,금호동2가,11200110,,103900106,4691,서울 성동구 금호동2가 산 9-1,서울특별시 성동구 금호산15길 15 (금호동2가),0.5,175.07,175.57,15,5252,5267
버스,대림강변타운아파트A상가,,1,N,Y,N,127.035718,37.55479,응봉동,11200108,,103900273,4888,서울 성동구 응봉동 15-2,,34.87,30.7,65.57,1046,921,1967
버스,대림상가,,2,N,Y,N,127.034468,37.55388,응봉동,11200108,,103900127,4701,서울 성동구 응봉동 10-115,,33.52,131.6,165.12,2011,7896,9907
버스,대림아파트,,1,N,Y,N,127.024926,37.55657383,행당동,11200107,,103000175,4278,서울 성동구 행당동 347-2,서울특별시 성동구 난계로 56 (행당동),184.43,234.7,419.13,5533,7041,12574
버스,대림아파트후문,,4,N,Y,N,127.0269327,37.5561715,행당동,11200107,,103900108,4698,서울 성동구 행당동 317-10,,17.34,78.36,95.7,1561,7052,8613
버스,대우아파트관리실,,2,N,Y,N,127.019985,37.546215,금호동4가,11200112,,103900142,4502,서울 성동구 금호동4가 800,서울특별시 성동구 독서당로 270 (금호동4가),65.6,52.6,118.2,3936,3156,7092
버스,대우아파트입구,,2,N,Y,N,127.0191632,37.54598344,금호동4가,11200112,,103900144,4572,서울 성동구 금호동4가 800,서울특별시 성동구 독서당로 270 (금호동4가),38.27,86.97,125.24,1148,2609,3757
버스,대우아파트후문,,2,N,Y,N,127.0216589,37.54693907,금호동4가,11200112,,103900143,4507,서울 성동구 금호동4가 800,서울특별시 성동구 독서당로 270 (금호동4가),76.1,20.03,96.13,2283,601,2884
버스,대현산배수지공원앞,,1,N,Y,N,127.0220575,37.55517771,금호동1가,11200109,,103900195,4828,서울 성동구 금호동1가 127-2,서울특별시 성동구 행당로 15 (금호동1가),3.77,39.1,42.87,113,1173,1286
버스,대현산배수지공원입구,,3,N,Y,N,127.0200974,37.55627838,금호동1가,11200109,,103000044,4143,서울 성동구 금호동1가 101,서울특별시 성동구 금호로 166-1 (금호동1가),57.99,46.34,104.33,5219,4171,9390
버스,대현산체육관입구,,1,N,Y,N,127.0297135,37.55296294,응봉동,11200108,,103900107,4696,서울 성동구 응봉동 265-105,서울특별시 성동구 독서당로59다길 43 (응봉동),83.1,99.1,182.2,2493,2973,5466
버스,대현산체육관입구,,1,N,Y,N,127.029853,37.55308,응봉동,11200108,,103900122,4567,서울 성동구 응봉동 264-5,,58.73,135.73,194.46,1762,4072,5834
버스,도선고등학교.꽃재교회,,3,N,Y,N,127.027782,37.567093,하왕십리동,11200102,,103000150,4252,서울 성동구 하왕십리동 548-3,,36.27,15.1,51.37,3264,1359,4623
버스,도선동사거리,,3,N,Y,N,127.0365327,37.56676758,마장동,11200105,,103900098,4668,서울 성동구 마장동 474-28,서울특별시 성동구 고산자로 340-1 (마장동),66.63,29.57,96.2,3998,1774,5772
버스,도선사거리,,7,N,Y,N,127.036955,37.567023,마장동,11200105,,103000022,4121,서울 성동구 마장동 518-14,서울특별시 성동구 고산자로 308 (마장동),73.3,72.67,145.97,15393,15260,30653
버스,도선사거리,,7,N,Y,N,127.036487,37.566648,마장동,11200105,,103000023,4122,서울 성동구 마장동 573-1,서울특별시 성동구 고산자로 301 (마장동),67.63,154.18,221.81,14202,32377,46579
버스,동대문구청.용두역4번출구,,3,N,Y,N,127.039718,37.573438,용답동,11200122,,105000074,6160,서울 동대문구 용두동 34-1,서울특별시 동대문구 청계천로 563 (용두동),187.67,153.83,341.5,16890,13845,30735
버스,두산상가후문.106동,,2,N,Y,N,127.0167387,37.5491854,금호동3가,11200111,,103900134,4550,서울 성동구 금호동3가 1331,"서울특별시 성동구 동호로 100 (금호동3가, 두산아파트)",2.89,4.46,7.35,81,125,206
버스,두산상가후문.106동,,2,N,Y,N,127.0166851,37.54933842,금호동3가,11200111,,103900135,4754,서울 성동구 금호동3가 1331,"서울특별시 성동구 동호로 100 (금호동3가, 두산아파트)",2.66,3.1,5.76,77,90,167
버스,두산아파트109동,,2,N,Y,N,127.0166307,37.54988947,금호동3가,11200111,,103900006,4757,서울 성동구 금호동3가 1331,"서울특별시 성동구 동호로 100 (금호동3가, 두산아파트)",7.86,0.41,8.27,228,12,240
버스,두산아파트109동,,2,N,Y,N,127.016797,37.54991499,금호동3가,11200111,,103900137,4760,서울 성동구 금호동3가 1331,"서울특별시 성동구 동호로 100 (금호동3가, 두산아파트)",0.27,19.83,20.1,8,595,603
버스,두산아파트113동,,2,N,Y,N,127.0162396,37.55078794,금호동3가,11200111,,103900001,4767,서울 성동구 금호동3가 1331,"서울특별시 성동구 동호로 100 (금호동3가, 두산아파트)",13.3,187.03,200.33,399,5611,6010
버스,두산아파트113동,,2,N,Y,N,127.0160758,37.5505885,금호동3가,11200111,,103900007,4756,서울 성동구 금호동3가 1331,"서울특별시 성동구 동호로 100 (금호동3가, 두산아파트)",13.13,1.5,14.63,394,45,439
버스,두산아파트115동,,2,N,Y,N,127.0159607,37.55105588,금호동3가,11200111,,103900138,4761,서울 성동구 금호동3가 1331,"서울특별시 성동구 동호로 100 (금호동3가, 두산아파트)",132.87,149.2,282.07,3986,4476,8462
버스,뚝도시장,,4,N,Y,N,127.0553996,37.53858661,성수동2가,11200115,,103000096,4195,서울 성동구 성수동2가 331-200,서울특별시 성동구 뚝섬로 404 (성수동2가),163.93,26.51,190.44,14754,2386,17140
버스,뚝도시장,,3,N,Y,N,127.05526,37.53885,성수동2가,11200115,,103000097,4196,서울 성동구 성수동2가 331-15,서울특별시 성동구 뚝섬로 403 (성수동2가),29.77,147.09,176.86,2679,13238,15917
버스,뚝도시장구길,,5,N,Y,N,127.05527,37.537192,성수동2가,11200115,,103000102,4201,서울 성동구 성수동2가 816-4,서울특별시 성동구 성수이로2길 12 (성수동2가),17.66,106.12,123.78,2119,12734,14853
버스,뚝도시장구길,,5,N,Y,N,127.0549268,37.53755207,성수동2가,11200115,,103000103,4202,서울 성동구 성수동2가 565-5,서울특별시 성동구 성덕정길 103 (성수동2가),118.51,24.31,142.82,14221,2917,17138
