GID,gid위도,gid경도,생활인구수,동 이름,gid 버스정류장명,gid버스정류장위도,gid버스정류장경도,NODE_ID
다사498440,37.49434436,126.9326738,381,상도동,선재유통,37.494658,126.932802,119900034
다사476435,37.48971562,126.9078229,76,신대방동,신대방1동경남아파트,37.489932,126.907561,118900115
다사497445,37.49884553,126.9315084,360,상도동,상도3동주민센터,37.499173,126.931274,119900248
다사514453,37.50614712,126.9506873,216,상도1동,상도은빛어르신복지관,37.506389,126.95054,119900188
다사514453,37.50614712,126.9506873,216,상도1동,상도은빛어르신복지관.터널경로당,37.506541,126.950954,119900245
다사529430,37.48549427,126.9678054,189,사당동,삼거리,37.4856,126.968303,119900263
다사478439,37.49333222,126.9100568,163,신대방동,신대방우성아파트앞,37.493343,126.910382,119900237
다사527434,37.48908937,126.9655175,81,사당동,사당5치안센터,37.489028,126.965649,119000080
다사532436,37.49091748,126.9711605,144,사당동,롯데캐슬.샤인,37.491098,126.971203,119900321
다사532436,37.49091748,126.9711605,144,사당동,롯데캐슬.샤인,37.490918,126.971489,119900319
다사520454,37.50707981,126.9574692,149,흑석동,중앙대중문,37.506739,126.957288,119900014
다사498456,37.50876551,126.9325647,44,대방동,남부교회,37.508971,126.932287,119900200
다사500444,37.49796049,126.9349091,229,상도동,안일약국,37.497762,126.934556,119900113
다사490454,37.50691904,126.9235272,798,대방동,서울지방병무청앞,37.506935,126.923275,119000020
다사505448,37.50159271,126.9405385,157,상도동,상도2동아이파크.포스코더샵아파트,37.501479,126.940831,119000106
