GID,위도,경도,생활인구수,지하철역까지거리(m),격자_내_정류장수,법정동명,법정동_주민등록인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수,노선(수),"인가대수(대, 합계)","배차간격(분, 평균)","최소배차(분, 평균)","최대배차(분, 평균)",총하차인원_lr
다사496448,37.50154405,126.9303566,295,277.25,0,상도동,114034,0,11,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11630.039336385731
다사537421,37.47742269,126.9769106,346,428.06,0,사당동,95821,2,2,5,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13900.191931187712
다사492457,37.50963402,126.9257692,507,328.57,0,대방동,34112,4,9,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9593.684993660796
다사528432,37.48729182,126.9666615,299,487.6,0,사당동,95821,3,14,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10961.92116896283
다사513455,37.5079445,126.9495427,751,590.14,0,노량진동,30270,0,17,24,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,3031.213494602367
다사539424,37.48013668,126.9791537,442,456.17,0,사당동,95821,0,4,8,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11169.79714207811
다사510459,37.51153392,126.9461218,343,279.09,0,노량진동,30270,0,7,16,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9235.06125244133
다사512451,37.50433392,126.9484378,415,177.01,0,상도1동,9802,6,18,31,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9242.947362022687
다사509445,37.49891008,126.9450838,275,500.02,0,상도동,114034,2,7,15,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11910.89535402546
다사497442,37.49614156,126.9315289,368,493.33,0,상도동,114034,6,15,24,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11886.050961249031
다사482439,37.49335473,126.9145816,507,398.54,0,신대방동,45025,2,6,16,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9082.205578518631
다사492441,37.49521289,126.9258797,433,309.15,0,신대방동,45025,1,5,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10486.982083803934
다사514441,37.49533122,126.9507666,454,274.38,0,상도동,114034,0,4,9,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12521.656927061998
다사534421,37.47740762,126.9735177,476,722.48,0,사당동,95821,0,2,4,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10170.104032708361
다사496440,37.49433347,126.9304114,405,519.0,0,상도동,114034,0,11,22,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8071.482361994678
다사539434,37.48915,126.9790911,700,373.23,0,사당동,95821,0,5,13,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8915.33555876604
다사518445,37.49895747,126.9552653,454,332.31,0,상도동,114034,0,6,14,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10911.197390226956
다사492455,37.50783138,126.925783,474,362.02,0,대방동,34112,3,11,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9011.083147186171
다사508457,37.50972064,126.9438723,275,463.82,0,노량진동,30270,3,10,15,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10687.34366784263
다사501444,37.4979659,126.9360403,384,717.01,0,상도동,114034,2,5,21,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8187.450147987089
다사529432,37.48729693,126.9677926,242,411.98,0,사당동,95821,3,14,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11802.774672315267
다사495462,37.51415708,126.9291292,458,290.52,0,대방동,34112,1,10,13,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10099.590514862522
다사509449,37.50251538,126.9450571,254,256.93,0,상도동,114034,6,15,25,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13871.374752117461
다사542443,37.49727689,126.9824286,315,638.93,0,동작동,5504,4,6,11,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10161.056479892317
다사480437,37.49154086,126.9123333,522,453.29,0,신대방동,45025,0,1,6,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9781.537318781446
다사516454,37.50705894,126.9529435,353,627.37,0,상도동,114034,2,14,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9561.643740524652
다사524438,37.49267928,126.9620982,539,844.98,0,사당동,95821,1,5,9,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8425.972394860419
다사508449,37.50251006,126.9439258,313,356.26,0,상도동,114034,1,14,27,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9141.00633048354
다사527432,37.48728671,126.9655303,436,570.7,0,사당동,95821,5,13,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10822.0066122242
다사515443,37.49713912,126.9518846,269,183.92,0,상도동,114034,1,9,10,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14783.160411884282
다사503462,37.51420048,126.9381813,452,587.39,0,노량진동,30270,2,8,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8886.685208865758
다사483442,37.49606429,126.9156917,284,215.25,0,신대방동,45025,4,16,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12223.176118411922
다사507453,37.50611002,126.9427676,525,358.85,0,노량진동,30270,7,14,28,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9186.256993364363
다사511459,37.51153922,126.9472533,363,332.26,0,노량진동,30270,0,7,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7982.809279142302
다사508448,37.50160873,126.9439324,466,377.88,0,상도동,114034,1,11,23,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9014.200251745962
다사490442,37.49610319,126.9236103,346,346.83,0,신대방동,45025,0,4,11,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10347.085696041133
다사498450,37.50335758,126.9326056,348,560.07,0,상도동,114034,0,7,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9292.003158614812
다사523457,37.50979933,126.9608439,484,246.97,0,흑석동,30047,1,12,15,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9679.651088733515
다사499446,37.49975772,126.9337642,317,489.29,0,상도동,114034,3,12,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11509.07709347384
다사499450,37.50336301,126.933737,308,494.72,0,상도동,114034,1,12,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10001.442720909447
다사481435,37.48974384,126.9134786,252,246.35,0,신대방동,45025,0,3,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11275.79401305123
다사493445,37.49882367,126.9269833,811,147.42,0,신대방동,45025,8,16,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12057.840267995767
다사509446,37.49981141,126.9450771,278,416.99,0,상도동,114034,2,9,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11215.916249549635
다사539423,37.47923535,126.97916,380,371.0,0,사당동,95821,0,7,9,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11955.233937894396
다사509444,37.49800876,126.9450904,412,588.42,0,상도동,114034,2,7,10,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11809.442585904162
다사533435,37.49002121,126.972298,448,602.25,0,사당동,95821,3,9,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9387.610360711924
다사495460,37.51235444,126.929143,792,245.37,0,대방동,34112,1,8,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7289.883840940189
다사496442,37.49613612,126.9303977,401,442.18,0,상도동,114034,2,13,25,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9162.815859750232
다사494441,37.49522386,126.9281421,285,458.22,0,신대방동,45025,3,6,15,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10904.566475708949
다사477434,37.48881997,126.9089611,419,406.92,0,신대방동,45025,1,10,14,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9588.886407466438
다사507445,37.49889943,126.9428212,382,625.92,0,상도동,114034,5,13,21,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10998.31089794559
다사516446,37.49984834,126.9529962,336,403.36,0,상도동,114034,3,8,13,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13377.318152733982
다사512440,37.49441935,126.9485108,249,497.28,0,상도동,114034,0,6,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11562.654987727165
다사490443,37.49700451,126.9236034,658,446.85,0,신대방동,45025,3,5,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8196.285308333625
다사492440,37.49431157,126.9258866,326,237.14,0,신대방동,45025,3,7,11,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13202.199453261399
다사539440,37.49455798,126.9790536,309,898.46,0,동작동,5504,1,3,7,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7510.024290195624
다사497439,37.4934376,126.9315494,326,499.44,0,상도동,114034,0,11,24,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8151.847068913874
다사478433,37.4879243,126.9100993,287,283.89,0,신대방동,45025,2,12,18,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10857.168126494837
다사490445,37.49880716,126.9235895,401,330.63,0,대방동,34112,5,11,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10919.641328591148
다사526435,37.48998558,126.9643799,357,836.3,0,사당동,95821,2,12,14,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9161.468904839649
다사527453,37.5062146,126.9653954,281,357.24,0,흑석동,30047,4,9,15,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11946.683103357542
다사524436,37.49087663,126.9621112,334,956.78,0,사당동,95821,0,7,10,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8090.637832604056
다사536432,37.48733233,126.9757103,259,501.35,0,사당동,95821,5,10,18,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12746.168696090035
다사495447,37.50063727,126.9292322,334,135.93,0,대방동,34112,2,15,23,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10079.22736910311
다사511457,37.50973658,126.9472666,639,502.88,0,노량진동,30270,0,9,21,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,4760.0656648209315
다사498439,37.49344303,126.9326806,362,574.53,0,상도동,114034,4,19,28,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9227.011876212153
다사520440,37.49446125,126.9575605,322,398.74,0,상도동,114034,2,5,14,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12486.828144594498
다사509451,37.50431803,126.9450437,341,307.49,0,상도동,114034,6,18,32,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11307.279288629745
다사493444,37.49792235,126.9269902,253,227.06,0,신대방동,45025,3,14,22,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11102.31877811113
